subject,fid,Qtype,response
mrashid,44520094,1,5
mrashid,44520094,3,5
mrashid,44520094,5,5
mrashid,27796431,1,5
mrashid,27796431,4,5
mrashid,27796431,5,5
mrashid,8867670,1,5
mrashid,8867670,2,5
mrashid,8867670,5,3
mrashid,8867670,5,5
mrashid,27801385,3,5
mrashid,27801385,4,5
mrashid,27801385,5,5
mrashid,27805178,1,5
mrashid,27805178,5,5
mrashid,27805178,5,5
mrashid,27802216,2,5
mrashid,27802216,4,5
mrashid,27802216,5,3
mrashid,27802216,5,5
mrashid,27802905,1,5
mrashid,27802905,4,5
mrashid,27802905,5,3
mrashid,27802905,5,5
mrashid,36144098,4,5
mrashid,36144098,5,5
mrashid,36144098,5,5
mrashid,27796647,3,1
mrashid,27796647,3,5
mrashid,27796647,4,5
mrashid,27796647,5,5
mrashid,27797205,1,5
mrashid,27797205,4,1
mrashid,27797205,4,1
mrashid,27797205,4,5
mrashid,27797205,5,5
mrashid,44519964,3,5
mrashid,44519964,5,5
mrashid,44519964,5,5
mrashid,27800218,3,5
mrashid,27800218,4,5
mrashid,27800218,5,5
mrashid,10576511,1,5
mrashid,10576511,3,1
mrashid,10576511,3,5
mrashid,10576511,5,5
mrashid,44520148,1,5
mrashid,44520148,4,5
mrashid,44520148,5,5
mrashid,10576909,1,5
mrashid,10576909,4,5
mrashid,10576909,5,5
mrashid,10577247,1,5
mrashid,10577247,2,5
mrashid,10577247,3,5
maheshwari,7349197,1,4
maheshwari,7349197,2,3
maheshwari,7349197,5,3
maheshwari,7349197,5,3
maheshwari,7349197,5,4
maheshwari,7349197,5,4
maheshwari,8867670,1,4
maheshwari,8867670,1,4
maheshwari,8867670,3,4
maheshwari,8867670,3,4
maheshwari,8867670,3,4
maheshwari,8867670,3,4
maheshwari,8867670,3,4
maheshwari,8867670,3,4
maheshwari,8867670,3,4
maheshwari,8867670,4,4
maheshwari,10578077,1,4
maheshwari,10578077,4,4
maheshwari,10578077,5,4
maheshwari,10578077,5,4
maheshwari,22908000,4,4
maheshwari,22908000,5,4
maheshwari,22908000,6,4
maheshwari,22908000,6,4
maheshwari,22908000,6,4
maheshwari,4661284,3,4
maheshwari,4661284,4,4
maheshwari,4661284,5,4
maheshwari,4661284,5,4
maheshwari,27797205,1,4
maheshwari,27797205,3,4
maheshwari,27797205,5,4
maheshwari,27797205,5,4
maheshwari,36144131,3,4
maheshwari,36144131,4,4
maheshwari,36144131,5,4
maheshwari,36144131,5,4
maheshwari,27797673,1,4
maheshwari,27797673,5,4
maheshwari,27797673,5,4
maheshwari,27797673,5,4
maheshwari,27797673,6,4
maheshwari,27797673,6,4
maheshwari,27797891,1,4
maheshwari,27797891,2,4
maheshwari,27797891,2,4
maheshwari,27797891,2,4
maheshwari,27797891,4,4
maheshwari,27797891,4,4
maheshwari,27797891,4,4
maheshwari,44520124,2,4
maheshwari,44520124,3,4
maheshwari,44520124,4,2
maheshwari,44520124,4,4
cozma_92,27799536,1,5
cozma_92,27799536,2,1
cozma_92,27799536,5,1
cozma_92,27799536,5,1
cozma_92,27799536,5,5
cozma_92,51583309,1,5
cozma_92,51583309,2,5
cozma_92,51583309,3,5
cozma_92,27798255,3,2
cozma_92,27798255,4,1
cozma_92,27798255,5,5
cozma_92,27798255,6,5
cozma_92,22908000,1,5
cozma_92,22908000,2,5
cozma_92,22908000,4,5
cozma_92,10579194,1,5
cozma_92,10579194,4,5
cozma_92,10579194,6,5
cozma_92,27804279,1,5
cozma_92,27804279,2,2
cozma_92,27804279,6,5
cozma_92,4661284,4,5
cozma_92,4661284,5,5
cozma_92,4661284,6,5
cozma_92,10576909,1,5
cozma_92,10576909,3,5
cozma_92,10576909,5,5
cozma_92,27797673,1,5
cozma_92,27797673,3,5
cozma_92,27797673,4,5
cozma_92,44520084,2,5
cozma_92,44520084,4,5
cozma_92,44520084,5,5
cozma_92,27804446,3,5
cozma_92,27804446,4,5
cozma_92,27804446,5,5
cozma_92,44519964,1,5
cozma_92,44519964,3,5
cozma_92,44519964,5,5
cozma_92,44520148,1,5
cozma_92,44520148,3,2
cozma_92,44520148,3,1
cozma_92,44520148,3,1
cozma_92,44520148,4,5
cozma_92,10577247,2,5
cozma_92,10577247,3,1
cozma_92,10577247,3,1
cozma_92,10577247,4,5
cozma_92,10577247,4,5
cozma_92,44520208,2,5
cozma_92,44520208,4,5
cozma_92,44520208,6,5
cozma_92,27799972,2,2
cozma_92,27799972,2,2
cozma_92,27799972,2,5
cozma_92,27799972,6,5
ldecamora,22907980,2,1
ldecamora,22907980,2,2
ldecamora,22907980,2,4
ldecamora,22907980,3,4
ldecamora,22907980,3,4
ldecamora,22907980,3,4
ldecamora,22907980,3,2
ldecamora,22907980,5,5
ldecamora,22907980,5,4
ldecamora,27799972,1,4
ldecamora,27799972,1,5
ldecamora,27799972,5,5
ldecamora,27799972,6,5
ldecamora,10579035,1,5
ldecamora,10579035,2,5
ldecamora,10579035,6,5
ldecamora,7349040,2,5
ldecamora,7349040,3,1
ldecamora,7349040,3,2
ldecamora,7349040,3,2
ldecamora,7349040,3,2
ldecamora,7349040,3,2
ldecamora,7349040,3,2
ldecamora,7349040,3,4
ldecamora,7349040,5,5
ldecamora,7349040,5,5
ldecamora,27798653,1,5
ldecamora,27798653,4,5
ldecamora,27798653,5,5
ldecamora,22908012,1,5
ldecamora,22908012,4,5
ldecamora,22908012,5,5
ldecamora,27801385,1,5
ldecamora,27801385,2,2
ldecamora,27801385,2,2
ldecamora,27801385,2,5
ldecamora,27801385,6,3
seph1603,22907673,1,5
seph1603,22907673,5,4
seph1603,22907673,6,4
seph1603,27796391,3,3
seph1603,27796391,4,4
seph1603,27796391,5,2
seph1603,27796391,6,4
seph1603,44520148,2,3
seph1603,44520148,2,4
seph1603,44520148,5,4
seph1603,44520148,6,4
seph1603,8867670,1,2
seph1603,8867670,1,4
seph1603,8867670,4,5
seph1603,8867670,5,1
seph1603,8867670,5,4
seph1603,27803446,1,5
seph1603,27803446,2,5
seph1603,27803446,5,4
seph1603,27799972,2,5
seph1603,27799972,4,3
seph1603,27799972,4,4
