subject,fid,Qtype,response
agoswam2,10576888,2,1
agoswam2,10576888,3,1
agoswam2,10576888,5,1
agoswam2,22907932,1,0
agoswam2,22907932,2,0
agoswam2,22907932,3,0
agoswam2,10577565,2,0
agoswam2,10577565,3,0
agoswam2,10577565,5,1
agoswam2,4661268,1,0
agoswam2,4661268,4,3
agoswam2,4661268,6,0
agoswam2,27796647,1,0
agoswam2,27796647,4,0
agoswam2,27796647,5,0
agoswam2,27796647,6,0
agoswam2,27802081,1,0
agoswam2,27802081,2,0
agoswam2,27802081,3,0
agoswam2,27803317,1,0
agoswam2,27803317,3,1
agoswam2,27803317,4,0
agoswam2,27802905,1,0
agoswam2,27802905,5,1
agoswam2,27802905,6,0
nasi,44519964,1,0
nasi,44519964,5,0
nasi,44519964,5,0
nasi,44519964,6,0
nasi,27797205,2,0
nasi,27802008,1,0
nasi,27802008,2,0
nasi,27802008,6,0
nasi,27802081,1,0
nasi,27802081,2,0
nasi,27802081,4,0
